id,name,created_at
1,Action,2023-01-30 05:47:42.862225+00
2,Adventure,2023-01-30 05:48:40.603793+00
3,War,2023-01-30 05:49:33.985435+00
4,Animation,2023-01-30 05:49:49.788935+00
5,Comedy,2023-01-30 05:49:56.210426+00
6,Drama,2023-01-30 05:50:17.607286+00
7,Romance,2023-01-30 05:50:25.823486+00
8,Horror,2023-02-01 22:25:41.141227+00
10,Fantasy,2023-02-01 22:26:29.777827+00
9,Superhero,2023-02-01 22:26:08.563421+00
11,Biography,2023-02-01 22:28:22.097595+00
12,Documentary,2023-02-01 22:28:30.615378+00
13,Family,2023-02-01 22:29:04.994491+00
14,History,2023-02-01 22:29:11.180095+00
15,Music,2023-02-01 22:29:33.111725+00
16,Sci-Fi,2023-02-01 22:29:47.649488+00
17,Crime,2023-02-02 13:29:18.119509+00
18,Thriller,2023-02-02 13:41:36.54207+00
19,Mystery,2023-02-04 08:49:39.87219+00
