id,name,image_url,gender,biography,country_id,created_at
14,Zack Snyder,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/iD0GDqkvJXDXiNEZej198hjt3Tt.jpg,1,"Zachary Edward Snyder (born March 1, 1966) is an American film director, producer, screenwriter, and cinematographer. He made his feature film debut in 2004 with Dawn of the Dead, a remake of the 1978 horror film of the same name. Since then, he has directed or produced a number of comic book and superhero films, including 300 (2007) and Watchmen (2009), as well as the Superman film that started the DC Extended Universe, Man of Steel (2013), and its follow-ups, Batman v Superman: Dawn of Justice (2016) and Justice League (2017). ",1,2023-02-03 09:07:04.992683+00
45,Francis Lawrence,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/pyGWo5mAwZ2Koe6leB2RjKd7vmc.jpg,1,"Francis Lawrence (born March 26, 1970) is an American music video director and film director.",25,2023-02-04 03:11:23.190436+00
1,Chad Stahelski,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/eRCryGwKDH4XqUlrdkERmeBWPo8.jpg,1,"Chad Stahelski is an American stuntman and film director. He is known for directing 2014 film John Wick along with David Leitch, and for doubling Brandon Lee after the fatal accident involving Lee at the set of The Crow (1994). He has also worked as a stunt coordinator and second unit director on several films.",1,2023-01-30 14:12:55.820094+00
2,Christopher McQuarrie,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/82W339V8turXUdaCajqOyekxhmD.jpg,1,"Christopher McQuarrie is an American screenwriter, producer and director. His screenplays include The Usual Suspects, for which he won the 1996 Academy Award, The Way of the Gun and Valkyrie. He is the creator of NBC television series Persons Unknown.",1,2023-01-30 14:14:19.719023+00
3,Doug Liman,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/6ebrRCsERA1IchMiF5SufD66stS.jpg,1,"Doug Liman (born July 24, 1965) is an American film director and producer.",1,2023-02-02 13:30:13.035565+00
4,Alex Kurtzman,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/uDZxuaV19OYMhN7vuuVg1bSlqUM.jpg,1,"Alex Kurtzman (born September 7, 1973) is an American film and television screenwriter and producer. Kurtzman was born and raised in Los Angeles, California, where he met his high school friend and long time collaborator Roberto Orci. He attended Wesleyan University.",1,2023-02-02 13:37:15.55782+00
5,Edward Zwick,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/xN7GHXkzCK2y9P16g6n3a7uhNAk.jpg,1,"Edward M. Zwick (born October 8, 1952) is an American filmmaker and film producer noted for his sprawling war films. He has been described as a ""throwback to an earlier era, an extremely cerebral director whose movies consistently feature fully rounded characters, difficult moral issues, and plots that thrive on the ambiguity of authority.""",1,2023-02-02 13:42:21.113448+00
6,James Mangold,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/pk0GDjn99crNwR4qgCCEokDYd71.jpg,1,"James Mangold (born December 16, 1963) is an American film and television director, screenwriter and producer. He is best known for the films Cop Land (1997), Girl, Interrupted (1999), Walk the Line (2005), The Wolverine (2013) and Logan (2017), the last of which earned him a nomination for the Academy Award for Best Adapted Screenplay. He then directed and produced the sports drama film Ford v Ferrari (2019), which earned him a nomination for the Academy Award for Best Picture.",1,2023-02-02 13:52:20.557284+00
7,Bryan Singer,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/ts06thbCv9Ug2mNpcbcrmLGRL4Q.jpg,1,"Bryan Singer (born September 17, 1965) is an American film director and producer. Singer won critical acclaim for his work on The Usual Suspects, and is especially well-known among fans of the science fiction and comic book genres for his work on the first two X-Men films and Superman Returns.",1,2023-02-02 13:56:28.275784+00
8,Michael Mann,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1nRqwMyQuCkvNPAzDY5oOSfGZ6b.jpg,1,"Michael Kenneth Mann (born February 5, 1943) is an American director, screenwriter, and producer of film and television who is best known for his distinctive style of crime drama. His most acclaimed works include the films Thief (1981), Manhunter (1986), The Last of the Mohicans (1992), Heat (1995), The Insider (1999), Collateral (2004), and Public Enemies (2009). He is also known for his role as executive producer on the popular TV series Miami Vice (1984–89), which he later adapted into a 2006 feature film.",1,2023-02-02 14:05:25.655091+00
9,Tony Scott,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/zEEbiNa8Pqw3U6pZ8Z2y3dlJJnC.jpg,1,"Anthony David Leighton Scott (21 June 1944 – 19 August 2012) was an English and American film director, producer and actor. He was known for directing highly successful action and thriller films such as Top Gun (1986), Beverly Hills Cop II (1987), Days of Thunder (1990), The Last Boy Scout (1991), True Romance (1993), Crimson Tide (1995), Enemy of the State (1998), Man on Fire (2004), Déjà Vu (2006), and Unstoppable (2010).",3,2023-02-02 14:08:18.399549+00
10,Brian De Palma,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/57sJhqM6Sp6WKL3nkA89yZg83bv.jpg,1,"Brian Russell De Palma is an American film director and writer. In a career spanning over 40 years, he is probably best known for his suspense and crime thriller films, including such box office successes as Carrie, Dressed to Kill, Scarface, The Untouchables, and Mission: Impossible.",1,2023-02-02 14:11:41.283183+00
