id,movie_id,actor_id,created_at
1,1,1,2023-02-02 13:08:34.844758+00
2,1,34,2023-02-02 13:08:34.844758+00
3,1,41,2023-02-02 13:08:34.844758+00
4,1,111,2023-02-02 13:08:34.844758+00
5,1,58,2023-02-02 13:08:34.844758+00
6,2,1,2023-02-02 13:33:10.28729+00
7,3,1,2023-02-02 13:38:49.653678+00
8,4,1,2023-02-02 13:43:21.900191+00
9,4,4,2023-02-02 13:43:21.900191+00
10,5,1,2023-02-02 13:45:53.083821+00
11,5,36,2023-02-02 13:45:53.083821+00
17,8,1,2023-02-02 13:59:17.002656+00
18,9,1,2023-02-02 14:03:34.513371+00
19,9,113,2023-02-02 14:03:34.513371+00
20,10,1,2023-02-02 14:06:24.11365+00
21,10,47,2023-02-02 14:06:24.11365+00
22,11,1,2023-02-02 14:08:42.984341+00
23,12,1,2023-02-02 14:11:48.60928+00
24,12,71,2023-02-02 14:11:48.60928+00
25,13,1,2023-02-02 14:14:30.947345+00
26,13,71,2023-02-02 14:14:30.947345+00
27,14,1,2023-02-02 14:16:47.192748+00
28,14,3,2023-02-02 14:16:47.192748+00
29,14,71,2023-02-02 14:16:47.192748+00
30,15,1,2023-02-02 14:20:51.906757+00
31,15,70,2023-02-02 14:20:51.906757+00
32,15,9,2023-02-02 14:20:51.906757+00
33,16,1,2023-02-02 14:25:52.931051+00
34,16,9,2023-02-02 14:25:52.931051+00
35,16,70,2023-02-02 14:25:52.931051+00
36,16,42,2023-02-02 14:25:52.931051+00
37,16,80,2023-02-02 14:25:52.931051+00
38,16,71,2023-02-02 14:25:52.931051+00
47,18,1,2023-02-02 14:35:40.100747+00
48,18,42,2023-02-02 14:35:40.100747+00
49,18,70,2023-02-02 14:35:40.100747+00
50,18,71,2023-02-02 14:35:40.100747+00
51,18,46,2023-02-02 14:35:40.100747+00
52,18,114,2023-02-02 14:35:40.100747+00
53,17,1,2023-02-02 14:35:55.253305+00
54,17,2,2023-02-02 14:35:55.253305+00
55,17,71,2023-02-02 14:35:55.253305+00
56,17,70,2023-02-02 14:35:55.253305+00
57,17,42,2023-02-02 14:35:55.253305+00
58,17,80,2023-02-02 14:35:55.253305+00
59,17,87,2023-02-02 14:35:55.253305+00
60,17,3,2023-02-02 14:35:55.253305+00
61,17,114,2023-02-02 14:35:55.253305+00
62,19,1,2023-02-02 14:37:18.222603+00
63,7,1,2023-02-02 14:39:41.994149+00
64,7,112,2023-02-02 14:39:41.994149+00
65,21,44,2023-02-03 09:08:07.588026+00
66,21,2,2023-02-03 09:08:07.588026+00
67,21,32,2023-02-03 09:08:07.588026+00
68,21,24,2023-02-03 09:08:07.588026+00
69,22,2,2023-02-03 09:10:33.6176+00
70,23,44,2023-02-03 09:12:03.105114+00
71,23,2,2023-02-03 09:12:03.105114+00
72,23,32,2023-02-03 09:12:03.105114+00
73,23,24,2023-02-03 09:12:03.105114+00
74,24,44,2023-02-03 09:14:03.103276+00
75,24,2,2023-02-03 09:14:03.103276+00
76,24,32,2023-02-03 09:14:03.103276+00
77,24,43,2023-02-03 09:14:03.103276+00
78,25,2,2023-02-03 09:15:25.925503+00
79,25,43,2023-02-03 09:15:25.925503+00
80,26,5,2023-02-03 09:26:49.725721+00
81,26,115,2023-02-03 09:26:49.725721+00
82,27,5,2023-02-03 09:31:58.891983+00
83,27,115,2023-02-03 09:31:58.891983+00
84,27,8,2023-02-03 09:31:58.891983+00
85,27,116,2023-02-03 09:31:58.891983+00
86,27,117,2023-02-03 09:31:58.891983+00
87,27,118,2023-02-03 09:31:58.891983+00
88,28,5,2023-02-03 09:34:11.489028+00
89,28,115,2023-02-03 09:34:11.489028+00
90,28,116,2023-02-03 09:34:11.489028+00
91,29,5,2023-02-03 09:38:23.462719+00
92,29,6,2023-02-03 09:38:23.462719+00
93,29,47,2023-02-03 09:38:23.462719+00
94,29,7,2023-02-03 09:38:23.462719+00
95,29,8,2023-02-03 09:38:23.462719+00
96,29,9,2023-02-03 09:38:23.462719+00
97,29,49,2023-02-03 09:38:23.462719+00
98,29,117,2023-02-03 09:38:23.462719+00
99,29,4,2023-02-03 09:38:23.462719+00
100,29,118,2023-02-03 09:38:23.462719+00
101,29,115,2023-02-03 09:38:23.462719+00
102,30,5,2023-02-03 09:40:40.566554+00
103,30,7,2023-02-03 09:40:40.566554+00
104,30,47,2023-02-03 09:40:40.566554+00
105,30,6,2023-02-03 09:40:40.566554+00
106,30,8,2023-02-03 09:40:40.566554+00
107,30,9,2023-02-03 09:40:40.566554+00
108,30,27,2023-02-03 09:40:40.566554+00
109,30,116,2023-02-03 09:40:40.566554+00
110,30,69,2023-02-03 09:40:40.566554+00
111,30,4,2023-02-03 09:40:40.566554+00
112,30,48,2023-02-03 09:40:40.566554+00
113,30,46,2023-02-03 09:40:40.566554+00
114,30,33,2023-02-03 09:40:40.566554+00
115,31,5,2023-02-03 09:45:54.567725+00
116,31,7,2023-02-03 09:45:54.567725+00
117,31,47,2023-02-03 09:45:54.567725+00
118,31,6,2023-02-03 09:45:54.567725+00
119,31,8,2023-02-03 09:45:54.567725+00
120,31,22,2023-02-03 09:45:54.567725+00
121,31,12,2023-02-03 09:45:54.567725+00
122,31,119,2023-02-03 09:45:54.567725+00
123,31,116,2023-02-03 09:45:54.567725+00
124,31,69,2023-02-03 09:45:54.567725+00
125,31,48,2023-02-03 09:45:54.567725+00
126,31,64,2023-02-03 09:45:54.567725+00
127,31,49,2023-02-03 09:45:54.567725+00
128,31,33,2023-02-03 09:45:54.567725+00
129,31,29,2023-02-03 09:45:54.567725+00
130,31,13,2023-02-03 09:45:54.567725+00
131,32,5,2023-02-03 09:51:27.019739+00
132,32,6,2023-02-03 09:51:27.019739+00
133,32,47,2023-02-03 09:51:27.019739+00
134,32,7,2023-02-03 09:51:27.019739+00
135,32,8,2023-02-03 09:51:27.019739+00
136,32,9,2023-02-03 09:51:27.019739+00
137,32,116,2023-02-03 09:51:27.019739+00
138,32,16,2023-02-03 09:51:27.019739+00
139,32,22,2023-02-03 09:51:27.019739+00
140,32,119,2023-02-03 09:51:27.019739+00
141,32,120,2023-02-03 09:51:27.019739+00
142,32,12,2023-02-03 09:51:27.019739+00
143,32,69,2023-02-03 09:51:27.019739+00
144,32,48,2023-02-03 09:51:27.019739+00
145,32,64,2023-02-03 09:51:27.019739+00
146,32,49,2023-02-03 09:51:27.019739+00
147,32,29,2023-02-03 09:51:27.019739+00
148,32,46,2023-02-03 09:51:27.019739+00
149,32,17,2023-02-03 09:51:27.019739+00
150,32,87,2023-02-03 09:51:27.019739+00
151,32,4,2023-02-03 09:51:27.019739+00
152,32,115,2023-02-03 09:51:27.019739+00
153,32,13,2023-02-03 09:51:27.019739+00
154,32,117,2023-02-03 09:51:27.019739+00
155,33,6,2023-02-03 11:54:15.756793+00
156,33,46,2023-02-03 11:54:15.756793+00
157,33,64,2023-02-03 11:54:15.756793+00
158,33,106,2023-02-03 11:54:15.756793+00
159,34,6,2023-02-03 11:56:10.048609+00
160,34,8,2023-02-03 11:56:10.048609+00
161,34,64,2023-02-03 11:56:10.048609+00
162,34,48,2023-02-03 11:56:10.048609+00
163,34,4,2023-02-03 11:56:10.048609+00
164,34,76,2023-02-03 11:56:10.048609+00
165,34,46,2023-02-03 11:56:10.048609+00
166,35,6,2023-02-03 11:58:49.063482+00
167,35,5,2023-02-03 11:58:49.063482+00
168,35,8,2023-02-03 11:58:49.063482+00
169,35,64,2023-02-03 11:58:49.063482+00
170,35,48,2023-02-03 11:58:49.063482+00
171,35,116,2023-02-03 11:58:49.063482+00
172,35,9,2023-02-03 11:58:49.063482+00
173,35,119,2023-02-03 11:58:49.063482+00
174,35,69,2023-02-03 11:58:49.063482+00
175,35,16,2023-02-03 11:58:49.063482+00
176,35,12,2023-02-03 11:58:49.063482+00
177,35,65,2023-02-03 11:58:49.063482+00
178,35,76,2023-02-03 11:58:49.063482+00
179,36,6,2023-02-03 12:02:44.883337+00
180,36,85,2023-02-03 12:02:44.883337+00
181,37,7,2023-02-03 12:09:17.213548+00
182,37,17,2023-02-03 12:09:17.213548+00
183,37,49,2023-02-03 12:09:17.213548+00
184,37,118,2023-02-03 12:09:17.213548+00
185,37,33,2023-02-03 12:09:17.213548+00
186,38,6,2023-02-03 12:12:28.424207+00
187,38,49,2023-02-03 12:12:28.424207+00
188,38,33,2023-02-03 12:12:28.424207+00
189,38,47,2023-02-03 12:12:28.424207+00
190,39,7,2023-02-03 12:14:47.4786+00
191,39,17,2023-02-03 12:14:47.4786+00
192,39,49,2023-02-03 12:14:47.4786+00
193,40,7,2023-02-03 12:16:54.300961+00
194,41,7,2023-02-03 12:20:36.30832+00
195,42,8,2023-02-03 12:23:28.942371+00
196,42,89,2023-02-03 12:23:28.942371+00
197,42,108,2023-02-03 12:23:28.942371+00
198,43,9,2023-02-03 12:26:14.790929+00
199,44,9,2023-02-03 12:29:02.09902+00
200,44,48,2023-02-03 12:29:02.09902+00
201,45,9,2023-02-03 12:34:36.639294+00
202,45,69,2023-02-03 12:34:36.639294+00
203,46,9,2023-02-03 12:37:03.254625+00
204,46,108,2023-02-03 12:37:03.254625+00
205,47,16,2023-02-03 12:39:12.285762+00
206,47,48,2023-02-03 12:39:12.285762+00
207,48,16,2023-02-03 12:40:33.217274+00
208,49,22,2023-02-03 12:42:42.179797+00
209,49,96,2023-02-03 12:42:42.179797+00
210,50,22,2023-02-03 12:45:04.804459+00
211,50,69,2023-02-03 12:45:04.804459+00
212,51,119,2023-02-03 12:47:16.47187+00
213,51,93,2023-02-03 12:47:16.47187+00
214,52,120,2023-02-03 12:49:39.447198+00
215,52,117,2023-02-03 12:49:39.447198+00
216,53,49,2023-02-03 12:51:59.816262+00
217,53,117,2023-02-03 12:51:59.816262+00
