id,movie_id,category_id,created_at
1,1,1,2023-02-02 13:08:34.66669+00
2,1,6,2023-02-02 13:08:34.66669+00
3,2,1,2023-02-02 13:33:10.192313+00
4,2,5,2023-02-02 13:33:10.192313+00
5,2,17,2023-02-02 13:33:10.192313+00
6,3,10,2023-02-02 13:38:49.560241+00
7,3,1,2023-02-02 13:38:49.560241+00
8,3,2,2023-02-02 13:38:49.560241+00
9,3,8,2023-02-02 13:38:49.560241+00
10,4,1,2023-02-02 13:43:21.315217+00
11,4,18,2023-02-02 13:43:21.315217+00
12,5,1,2023-02-02 13:45:53.003474+00
13,5,16,2023-02-02 13:45:53.003474+00
23,8,14,2023-02-02 13:59:16.852016+00
24,8,18,2023-02-02 13:59:16.852016+00
25,8,3,2023-02-02 13:59:16.852016+00
26,9,1,2023-02-02 14:03:34.415112+00
27,9,6,2023-02-02 14:03:34.415112+00
28,9,3,2023-02-02 14:03:34.415112+00
29,10,17,2023-02-02 14:06:23.902019+00
30,10,6,2023-02-02 14:06:23.902019+00
31,10,18,2023-02-02 14:06:23.902019+00
32,11,1,2023-02-02 14:08:42.877449+00
33,11,6,2023-02-02 14:08:42.877449+00
34,12,1,2023-02-02 14:11:48.504634+00
35,12,2,2023-02-02 14:11:48.504634+00
36,12,18,2023-02-02 14:11:48.504634+00
37,13,1,2023-02-02 14:14:30.848449+00
38,13,2,2023-02-02 14:14:30.848449+00
39,13,18,2023-02-02 14:14:30.848449+00
40,14,1,2023-02-02 14:16:47.085961+00
41,14,2,2023-02-02 14:16:47.085961+00
42,14,18,2023-02-02 14:16:47.085961+00
43,15,1,2023-02-02 14:20:51.806903+00
44,15,2,2023-02-02 14:20:51.806903+00
45,15,18,2023-02-02 14:20:51.806903+00
46,16,1,2023-02-02 14:25:52.835254+00
47,16,2,2023-02-02 14:25:52.835254+00
50,18,1,2023-02-02 14:35:40.018554+00
51,18,2,2023-02-02 14:35:40.018554+00
52,18,18,2023-02-02 14:35:40.018554+00
53,17,1,2023-02-02 14:35:54.776196+00
54,17,2,2023-02-02 14:35:54.776196+00
55,19,1,2023-02-02 14:37:18.028892+00
56,19,2,2023-02-02 14:37:18.028892+00
57,7,1,2023-02-02 14:39:41.789708+00
58,7,5,2023-02-02 14:39:41.789708+00
59,21,1,2023-02-03 09:08:07.489893+00
60,21,2,2023-02-03 09:08:07.489893+00
61,21,10,2023-02-03 09:08:07.489893+00
62,21,16,2023-02-03 09:08:07.489893+00
63,22,1,2023-02-03 09:10:33.540011+00
64,22,2,2023-02-03 09:10:33.540011+00
65,22,5,2023-02-03 09:10:33.540011+00
66,23,1,2023-02-03 09:12:03.018917+00
67,23,2,2023-02-03 09:12:03.018917+00
68,23,16,2023-02-03 09:12:03.018917+00
69,24,1,2023-02-03 09:14:03.020328+00
70,24,2,2023-02-03 09:14:03.020328+00
71,24,10,2023-02-03 09:14:03.020328+00
72,25,1,2023-02-03 09:15:25.844451+00
73,25,2,2023-02-03 09:15:25.844451+00
74,25,16,2023-02-03 09:15:25.844451+00
75,26,1,2023-02-03 09:26:49.649921+00
76,26,2,2023-02-03 09:26:49.649921+00
77,26,16,2023-02-03 09:26:49.649921+00
78,27,1,2023-02-03 09:31:58.804624+00
79,27,2,2023-02-03 09:31:58.804624+00
80,27,16,2023-02-03 09:31:58.804624+00
81,28,1,2023-02-03 09:34:11.399979+00
82,28,2,2023-02-03 09:34:11.399979+00
83,28,16,2023-02-03 09:34:11.399979+00
84,29,1,2023-02-03 09:38:23.392267+00
85,29,2,2023-02-03 09:38:23.392267+00
86,29,16,2023-02-03 09:38:23.392267+00
87,30,1,2023-02-03 09:40:40.475388+00
88,30,2,2023-02-03 09:40:40.475388+00
89,30,16,2023-02-03 09:40:40.475388+00
90,31,1,2023-02-03 09:45:54.44063+00
91,31,2,2023-02-03 09:45:54.44063+00
92,31,16,2023-02-03 09:45:54.44063+00
93,32,1,2023-02-03 09:51:26.945142+00
94,32,2,2023-02-03 09:51:26.945142+00
95,32,16,2023-02-03 09:51:26.945142+00
96,33,1,2023-02-03 11:54:15.67553+00
97,33,2,2023-02-03 11:54:15.67553+00
98,33,16,2023-02-03 11:54:15.67553+00
99,34,1,2023-02-03 11:56:09.968708+00
100,34,2,2023-02-03 11:56:09.968708+00
101,34,16,2023-02-03 11:56:09.968708+00
102,35,1,2023-02-03 11:58:48.992369+00
103,35,2,2023-02-03 11:58:48.992369+00
104,35,16,2023-02-03 11:58:48.992369+00
105,36,1,2023-02-03 12:02:44.807777+00
106,36,18,2023-02-03 12:02:44.807777+00
107,37,2,2023-02-03 12:09:17.118276+00
108,37,10,2023-02-03 12:09:17.118276+00
109,37,1,2023-02-03 12:09:17.118276+00
110,38,1,2023-02-03 12:12:28.35733+00
111,38,2,2023-02-03 12:12:28.35733+00
112,38,10,2023-02-03 12:12:28.35733+00
113,38,16,2023-02-03 12:12:28.35733+00
114,38,5,2023-02-03 12:12:28.35733+00
115,39,1,2023-02-03 12:14:47.410996+00
116,39,2,2023-02-03 12:14:47.410996+00
117,39,10,2023-02-03 12:14:47.410996+00
118,40,6,2023-02-03 12:16:54.221749+00
119,40,1,2023-02-03 12:16:54.221749+00
120,40,18,2023-02-03 12:16:54.221749+00
121,41,3,2023-02-03 12:20:36.23729+00
122,41,6,2023-02-03 12:20:36.23729+00
123,41,1,2023-02-03 12:20:36.23729+00
124,41,14,2023-02-03 12:20:36.23729+00
125,42,1,2023-02-03 12:23:28.870955+00
126,42,2,2023-02-03 12:23:28.870955+00
127,42,16,2023-02-03 12:23:28.870955+00
128,43,6,2023-02-03 12:26:14.708741+00
129,43,16,2023-02-03 12:26:14.708741+00
130,44,6,2023-02-03 12:29:02.017508+00
131,44,18,2023-02-03 12:29:02.017508+00
132,44,3,2023-02-03 12:29:02.017508+00
133,45,17,2023-02-03 12:34:36.559763+00
134,45,6,2023-02-03 12:34:36.559763+00
135,45,18,2023-02-03 12:34:36.559763+00
136,46,1,2023-02-03 12:37:03.178556+00
137,46,18,2023-02-03 12:37:03.178556+00
138,47,1,2023-02-03 12:39:12.215544+00
139,47,2,2023-02-03 12:39:12.215544+00
140,47,16,2023-02-03 12:39:12.215544+00
141,48,1,2023-02-03 12:40:33.145867+00
142,48,2,2023-02-03 12:40:33.145867+00
143,48,16,2023-02-03 12:40:33.145867+00
144,49,1,2023-02-03 12:42:42.095972+00
145,49,2,2023-02-03 12:42:42.095972+00
146,49,10,2023-02-03 12:42:42.095972+00
153,52,1,2023-02-03 12:49:39.378488+00
154,52,2,2023-02-03 12:49:39.378488+00
155,52,16,2023-02-03 12:49:39.378488+00
159,54,1,2023-02-03 12:57:02.706201+00
160,54,2,2023-02-03 12:57:02.706201+00
161,54,16,2023-02-03 12:57:02.706201+00
162,54,6,2023-02-03 12:57:02.706201+00
166,56,1,2023-02-03 13:00:16.55857+00
167,56,2,2023-02-03 13:00:16.55857+00
168,56,16,2023-02-03 13:00:16.55857+00
147,50,1,2023-02-03 12:45:04.733537+00
148,50,2,2023-02-03 12:45:04.733537+00
149,50,10,2023-02-03 12:45:04.733537+00
150,51,1,2023-02-03 12:47:16.401945+00
151,51,2,2023-02-03 12:47:16.401945+00
152,51,16,2023-02-03 12:47:16.401945+00
156,53,1,2023-02-03 12:51:59.748806+00
157,53,2,2023-02-03 12:51:59.748806+00
158,53,10,2023-02-03 12:51:59.748806+00
176,60,1,2023-02-04 02:51:07.683334+00
177,60,2,2023-02-04 02:51:07.683334+00
178,60,16,2023-02-04 02:51:07.683334+00
186,63,1,2023-02-04 02:58:58.944099+00
187,63,2,2023-02-04 02:58:58.944099+00
188,63,16,2023-02-04 02:58:58.944099+00
189,63,18,2023-02-04 02:58:58.944099+00
163,55,1,2023-02-03 12:58:30.470071+00
164,55,2,2023-02-03 12:58:30.470071+00
165,55,16,2023-02-03 12:58:30.470071+00
169,57,1,2023-02-03 13:02:40.980318+00
170,57,2,2023-02-03 13:02:40.980318+00
179,61,1,2023-02-04 02:52:19.781866+00
180,61,2,2023-02-04 02:52:19.781866+00
181,61,16,2023-02-04 02:52:19.781866+00
182,62,1,2023-02-04 02:56:17.193652+00
183,62,2,2023-02-04 02:56:17.193652+00
184,62,16,2023-02-04 02:56:17.193652+00
185,62,18,2023-02-04 02:56:17.193652+00
190,64,6,2023-02-04 03:03:05.213365+00
191,64,7,2023-02-04 03:03:05.213365+00
192,64,16,2023-02-04 03:03:05.213365+00
193,65,16,2023-02-04 03:10:32.851314+00
194,65,2,2023-02-04 03:10:32.851314+00
195,65,10,2023-02-04 03:10:32.851314+00
196,66,1,2023-02-04 03:12:26.272458+00
197,66,2,2023-02-04 03:12:26.272458+00
198,66,16,2023-02-04 03:12:26.272458+00
199,67,16,2023-02-04 03:14:07.143504+00
200,67,2,2023-02-04 03:14:07.143504+00
201,67,18,2023-02-04 03:14:07.143504+00
202,68,1,2023-02-04 03:15:11.841998+00
