id,created_at,name,description,image_url,video_url,release_date,language,status,director_id,studio_id
8,2023-02-02 13:59:05.807488+00,Valkyrie,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/8eoRtXswC8IQDsqW7iJWO56NhAv.jpg,https://youtu.be/FHtCaVtryiE,2008-12-25,English,2,7,14
9,2023-02-02 14:03:34.312826+00,The Last Samurai ,"Nathan Algren is an American hired to instruct the Japanese army in the ways of modern warfare, which finds him learning to respect the samurai and the honorable principles that rule them. Pressed to destroy the samurai's way of life in the name of modernization and open trade, Algren decides to become an ultimate warrior himself and to fight for their right to exist.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/lsasOSgYI85EHygtT5SvcxtZVYT.jpg,https://youtu.be/kJ27kgmhI6Q,2016-01-07,English,2,5,7
10,2023-02-02 14:06:23.789355+00,Collateral,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,https://www.themoviedb.org/t/p/w300_and_h450_bestv2/iOpi3ut5DhQIbrVVjlnmfy2U7dI.jpg,https://youtu.be/-JDf2zIFgO8,2019-12-27,English,2,8,1
11,2023-02-02 14:08:42.73668+00,Top Gun,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/xUuHj3CgmZQ9P2cMaqQs4J0d4Zc.jpg,https://youtu.be/ArOMXELHiLw,1986-05-16,English,2,9,1
12,2023-02-02 14:11:48.389816+00,Mission: Impossible,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the No. 1 suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/l5uxY5m5OInWpcExIpKG6AR3rgL.jpg,https://youtu.be/vadCbBuUM0E,1996-05-22,English,2,10,1
13,2023-02-02 14:14:30.758263+00,Mission: Impossible II,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/1VMWLpk9VXyYcEZ8w3uUhp0OF1v.jpg,https://youtu.be/vIpqpRuGrq4,2000-06-03,English,2,11,1
1,2023-02-01 10:31:57.292987+00,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,https://youtu.be/qSqVVswa420,2022-05-27,English,2,2,1
2,2023-02-02 13:33:10.042563+00,American Made,"The true story of pilot Barry Seal, who transported contraband for the CIA and the Medellin cartel in the 1980s.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/23ILgoPSO5ShKcTZOuiTVfqFAUB.jpg,https://youtu.be/AEBIJRAkujM,2017-08-25,English,2,3,11
3,2023-02-02 13:38:49.483808+00,The Mummy,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/zxkY8byBnCsXodEYpK8tmwEGXBI.jpg,https://youtu.be/IjHgzkQM2Sg,2017-06-07,English,2,4,12
4,2023-02-02 13:43:21.229566+00,Jack Reacher: Never Go Back,"When Major Susan Turner is arrested for treason, ex-investigator Jack Reacher undertakes the challenging task to prove her innocence and ends up exposing a shocking conspiracy.",https://www.themoviedb.org/t/p/w300_and_h450_bestv2/bvCEEs5l3ylNIgH4foqOmQk0qdi.jpg,https://youtu.be/aoCP_JHzBUM,2016-10-21,English,2,5,1
